"","age","sex","race","hispanic","educ","income","born","relig","relig16","owngun","hunt","marital","happy","eatmeat","recycle","health","life"
"203",71,"male","white","not hispanic",16,103076,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","divorced","pretty happy",4,"always","good","routine"
"204",55,"female","white","not hispanic",16,64268,"yes","protestant","protestant","yes","yes, spouse does","married","pretty happy",1,"always","good","exciting"
"205",71,"male","white","not hispanic",16,42318,"yes","none","catholic","no","no, neither r nor spouse hunts","widowed","very happy",2,"always","good","exciting"
"206",74,"male","white","not hispanic",18,53742,"no","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",2,"always","fair","exciting"
"207",30,"male","other","not hispanic",16,76383,"no","other","other","no","no, neither r nor spouse hunts","married","pretty happy",0,"always","good","exciting"
"208",55,"male","white","not hispanic",18,63496,"yes","none","catholic","no","no, neither r nor spouse hunts","divorced","not too happy",1,"sometimes","poor","routine"
"209",71,"female","white","not hispanic",12,4519,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",7,"always","fair","routine"
"210",35,"female","white","not hispanic",18,79847,"yes","protestant","none","yes","no, neither r nor spouse hunts","never married","pretty happy",2,"always","good","exciting"
"211",57,"male","white","not hispanic",16,93715,"yes","catholic","catholic","no","no, neither r nor spouse hunts","never married","not too happy",4,"always","good","routine"
"212",73,"female","white","not hispanic",12,119552,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","very happy",3,"always","good","routine"
"213",20,"female","white","not hispanic",12,114612,"yes","none","none","yes","no, neither r nor spouse hunts","never married","pretty happy",2,"recycling not available where i live","good","routine"
"214",75,"female","white","not hispanic",17,99700,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",1,"always","excellent","routine"
"215",71,"male","white","not hispanic",18,55857,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",2,"often","excellent","exciting"
"216",58,"male","white","not hispanic",20,118396,"yes","protestant","protestant","yes","yes, respondent does","married","pretty happy",2,"always","fair","exciting"
"217",64,"male","white","not hispanic",12,29783,"yes","catholic","catholic","no","no, neither r nor spouse hunts","divorced","not too happy",0,"often","excellent","routine"
"218",73,"female","black","not hispanic",18,31077,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",0,"always","good","dull"
"219",33,"female","white","not hispanic",16,80755,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",1,"always","good","exciting"
"220",38,"female","black","not hispanic",12,23377,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"never","fair","exciting"
"221",58,"female","white","not hispanic",20,85172,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","not too happy",1,"always","good","dull"
"222",54,"male","white","not hispanic",16,97792,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","not too happy",3,"always","good","routine"
"223",68,"male","white","not hispanic",14,78489,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","very happy",5,"always","good","routine"
"224",53,"male","other","not hispanic",16,65990,"no","none","other","no","no, neither r nor spouse hunts","married","pretty happy",3,"often","good","exciting"
"225",28,"female","black","hispanic",13,14332,"yes","none","none","no","no, neither r nor spouse hunts","never married","not too happy",5,"often","poor","routine"
"226",33,"male","white","not hispanic",16,14550,"yes","jewish","jewish","no","no, neither r nor spouse hunts","never married","pretty happy",0,"always","good","routine"
"227",33,"male","other","not hispanic",16,75119,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",5,"always","good","routine"
"228",29,"male","white","not hispanic",16,32873,"yes","none","jewish","no","no, neither r nor spouse hunts","never married","pretty happy",1,"always","excellent","exciting"
"229",21,"male","other","hispanic",13,777,"yes","catholic","catholic","no","no, neither r nor spouse hunts","never married","pretty happy",4,"always","excellent","routine"
"230",19,"male","other","not hispanic",12,59734,"yes","none","other","no","no, neither r nor spouse hunts","never married","pretty happy",7,"sometimes","good","exciting"
"231",68,"female","white","not hispanic",12,64170,"yes","none","catholic","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","excellent","exciting"
"232",34,"male","white","not hispanic",17,112656,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","exciting"
"233",51,"male","white","not hispanic",14,109111,"yes","protestant","catholic","yes","no, neither r nor spouse hunts","married","very happy",6,"always","excellent","exciting"
"234",31,"female","white","not hispanic",16,46372,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",2,"often","good","routine"
"235",41,"female","white","not hispanic",16,50269,"yes","none","catholic","no","no, neither r nor spouse hunts","married","very happy",0,"often","excellent","routine"
"236",60,"female","white","not hispanic",14,117204,"yes","protestant","catholic","no","yes, spouse does","married","pretty happy",1,"often","excellent","routine"
"237",40,"male","white","not hispanic",16,85915,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","never married","not too happy",2,"always","fair","routine"
"238",65,"male","white","not hispanic",18,30932,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",1,"always","good","routine"
"239",67,"male","white","not hispanic",19,90491,"yes","none","catholic","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","excellent","routine"
"240",28,"male","white","not hispanic",16,36963,"yes","none","catholic","yes","no, neither r nor spouse hunts","never married","pretty happy",2,"often","good","routine"
"241",42,"male","white","not hispanic",13,66676,"yes","none","none","yes","yes, respondent does","married","not too happy",3,"always","good","routine"
"242",39,"female","white","not hispanic",16,74189,"yes","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"243",41,"male","white","not hispanic",12,96175,"yes","none","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"244",63,"female","white","not hispanic",12,46509,"yes","catholic","catholic","yes","yes, spouse does","married","pretty happy",6,"always","good","routine"
"245",83,"male","white","not hispanic",12,33327,"yes","protestant","protestant","yes","yes, respondent does","widowed","pretty happy",2,"sometimes","good","exciting"
"246",50,"female","white","not hispanic",14,10336,"yes","jewish","jewish","no","no, neither r nor spouse hunts","widowed","pretty happy",1,"often","fair","routine"
"247",52,"female","white","not hispanic",14,41880,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",3,"always","good","routine"
"248",68,"male","white","not hispanic",12,76490,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",1,"always","fair","routine"
"249",33,"male","white","not hispanic",16,92034,"yes","none","other","no","no, neither r nor spouse hunts","never married","very happy",1,"always","excellent","exciting"
"250",72,"male","white","not hispanic",12,57674,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",5,"always","good","exciting"
"251",89,"female","white","not hispanic",12,8259,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","pretty happy",1,"always","fair","routine"
"252",59,"female","white","not hispanic",12,8572,"yes","protestant","catholic","no","no, neither r nor spouse hunts","married","pretty happy",0,"always","fair","routine"
"253",76,"female","white","not hispanic",20,97148,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",0,"always","good","exciting"
"254",41,"female","white","not hispanic",16,29520,"yes","none","catholic","no","no, neither r nor spouse hunts","married","pretty happy",6,"always","excellent","routine"
"255",29,"male","white","not hispanic",16,97960,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","not too happy",2,"sometimes","poor","routine"
"256",68,"male","white","not hispanic",20,49461,"yes","jewish","jewish","no","no, neither r nor spouse hunts","married","pretty happy",1,"always","excellent","exciting"
"257",61,"female","white","not hispanic",16,52222,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","divorced","not too happy",3,"always","good","dull"
"258",77,"male","white","not hispanic",16,25066,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",1,"always","excellent","routine"
"259",69,"female","white","not hispanic",16,115268,"yes","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",1,"always","good","routine"
"260",33,"male","white","not hispanic",16,51399,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",2,"always","good","exciting"
"261",62,"female","white","not hispanic",16,31826,"yes","catholic","catholic","no","no, neither r nor spouse hunts","never married","not too happy",0,"always","excellent","routine"
"262",53,"female","white","not hispanic",16,36233,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",1,"always","good","exciting"
"263",44,"male","other","not hispanic",19,87572,"no","other","other","no","no, neither r nor spouse hunts","married","very happy",0,"always","excellent","exciting"
"264",48,"female","white","not hispanic",18,38823,"yes","none","none","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","fair","exciting"
"265",42,"female","black","not hispanic",16,116459,"yes","none","protestant","no","no, neither r nor spouse hunts","separated","pretty happy",0,"always","good","routine"
"266",66,"male","other","not hispanic",17,45361,"yes","protestant","protestant","yes","yes, respondent does","married","pretty happy",1,"always","good","routine"
"267",48,"male","white","not hispanic",14,97308,"yes","protestant","protestant","yes","yes, respondent does","married","pretty happy",7,"recycling not available where i live","good","exciting"
"268",59,"female","white","not hispanic",12,108485,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",5,"often","good","exciting"
"269",89,"male","white","not hispanic",12,97318,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","pretty happy",1,"often","good","routine"
"270",21,"male","other","hispanic",13,84407,"yes","none","none","no","no, neither r nor spouse hunts","never married","very happy",3,"always","fair","exciting"
"271",25,"male","white","not hispanic",16,108456,"yes","jewish","jewish","no","no, neither r nor spouse hunts","never married","pretty happy",3,"sometimes","good","routine"
"272",59,"female","white","not hispanic",18,86441,"yes","other","other","yes","no, neither r nor spouse hunts","married","pretty happy",1,"always","excellent","exciting"
"273",25,"female","white","not hispanic",18,48587,"yes","none","catholic","yes","no, neither r nor spouse hunts","never married","pretty happy",1,"always","good","routine"
"274",84,"male","white","not hispanic",16,119521,"yes","other","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",2,"never","good","routine"
"275",33,"male","black","not hispanic",14,88185,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","separated","pretty happy",3,"often","good","exciting"
"276",51,"female","black","not hispanic",12,22995,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",2,"never","fair","routine"
"277",74,"male","white","not hispanic",12,21296,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",3,"always","good","routine"
"278",44,"female","white","not hispanic",12,27035,"yes","other","other","no","yes, respondent does","divorced","pretty happy",3,"never","fair","routine"
"279",48,"female","white","not hispanic",20,67154,"yes","other","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",3,"never","good","routine"
"280",79,"female","white","not hispanic",13,83721,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",4,"never","good","routine"
"281",35,"male","white","not hispanic",10,52474,"yes","none","jewish","no","no, neither r nor spouse hunts","never married","pretty happy",1,"sometimes","good","routine"
"282",50,"female","white","not hispanic",15,61968,"yes","protestant","none","yes","no, neither r nor spouse hunts","divorced","not too happy",4,"often","fair","routine"
"283",62,"female","black","not hispanic",13,32944,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","very happy",0,"sometimes","good","exciting"
"284",28,"female","white","not hispanic",17,15649,"yes","none","catholic","no","no, neither r nor spouse hunts","never married","not too happy",0,"always","fair","routine"
"285",23,"male","other","not hispanic",15,5410,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","never married","not too happy",5,"sometimes","excellent","routine"
"286",48,"male","white","not hispanic",20,75779,"yes","none","catholic","no","no, neither r nor spouse hunts","married","not too happy",5,"often","good","routine"
"287",28,"female","other","not hispanic",16,378,"no","none","none","no","no, neither r nor spouse hunts","never married","pretty happy",0,"often","excellent","routine"
"288",35,"female","black","not hispanic",13,29301,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",3,"often","good","exciting"
"289",59,"female","black","not hispanic",16,102352,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",6,"often","excellent","exciting"
"290",37,"female","black","hispanic",18,10272,"yes","protestant","catholic","yes","no, neither r nor spouse hunts","never married","pretty happy",1,"always","excellent","routine"
"291",40,"female","black","not hispanic",16,90866,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","exciting"
"292",71,"male","black","not hispanic",16,50446,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"293",44,"female","white","not hispanic",13,62288,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",5,"often","good","routine"
"294",70,"male","white","not hispanic",18,106532,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",2,"always","good","exciting"
"295",37,"male","white","not hispanic",18,68253,"yes","none","protestant","yes","no, neither r nor spouse hunts","never married","very happy",1,"never","good","exciting"
"296",67,"female","white","not hispanic",18,70144,"yes","catholic","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",4,"always","good","exciting"
"297",42,"male","white","not hispanic",16,81148,"yes","other","none","yes","no, neither r nor spouse hunts","never married","pretty happy",7,"always","fair","exciting"
"298",29,"male","white","not hispanic",14,27889,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",2,"often","excellent","routine"
"299",53,"male","black","not hispanic",12,26398,"yes","none","protestant","yes","no, neither r nor spouse hunts","divorced","pretty happy",3,"always","good","routine"
"300",36,"female","black","not hispanic",17,97083,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",0,"often","good","routine"
"301",84,"female","white","not hispanic",14,20391,"yes","protestant","catholic","no","no, neither r nor spouse hunts","widowed","not too happy",1,"always","poor","exciting"
"302",25,"female","white","not hispanic",17,99573,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","never married","very happy",3,"recycling not available where i live","good","routine"
"303",51,"male","white","not hispanic",14,80357,"yes","protestant","protestant","yes","yes, respondent does","divorced","pretty happy",3,"sometimes","excellent","routine"
"304",32,"female","black","not hispanic",16,2162,"yes","none","none","no","no, neither r nor spouse hunts","never married","not too happy",0,"often","good","routine"
"305",57,"female","white","not hispanic",14,15084,"yes","other","other","yes","yes, respondent does","divorced","pretty happy",4,"often","good","exciting"
"306",74,"female","white","not hispanic",16,109059,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",4,"always","good","routine"
"307",89,"female","other","hispanic",16,41742,"yes","protestant","catholic","yes","yes, spouse does","married","pretty happy",2,"often","good","routine"
"308",77,"male","other","not hispanic",20,67067,"no","other","other","no","no, neither r nor spouse hunts","married","pretty happy",1,"always","excellent","exciting"
"309",24,"male","black","not hispanic",17,86029,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","never married","very happy",7,"sometimes","excellent","exciting"
"310",36,"male","white","not hispanic",17,109658,"no","other","other","yes","no, neither r nor spouse hunts","married","very happy",6,"sometimes","good","exciting"
"311",47,"female","black","not hispanic",13,92215,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","never married","pretty happy",1,"sometimes","excellent","exciting"
"312",58,"female","black","not hispanic",15,21768,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",1,"never","good","routine"
"313",87,"male","white","not hispanic",19,30985,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","not too happy",4,"always","fair","routine"
"314",88,"male","white","not hispanic",17,62454,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",6,"always","good","routine"
"315",61,"female","white","not hispanic",12,62648,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",4,"sometimes","good","routine"
"316",61,"male","black","not hispanic",17,95639,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",4,"always","excellent","exciting"
"317",51,"female","white","not hispanic",16,47550,"yes","none","other","no","no, neither r nor spouse hunts","never married","pretty happy",3,"always","good","routine"
"318",79,"male","white","not hispanic",16,53010,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","pretty happy",4,"never","good","routine"
"319",44,"female","white","not hispanic",16,26591,"yes","none","protestant","yes","yes, both do","married","very happy",1,"always","excellent","exciting"
"320",65,"male","black","not hispanic",17,31232,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",4,"often","good","routine"
"321",66,"male","white","not hispanic",14,61925,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",6,"often","good","routine"
"322",57,"male","white","not hispanic",12,9620,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",5,"never","good","routine"
"323",39,"female","white","not hispanic",18,113027,"yes","protestant","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",1,"always","good","routine"
"324",80,"female","white","not hispanic",20,39777,"yes","none","jewish","no","no, neither r nor spouse hunts","never married","pretty happy",3,"always","good","routine"
"325",32,"female","black","not hispanic",14,16438,"yes","other","protestant","no","no, neither r nor spouse hunts","never married","not too happy",2,"never","good","routine"
"326",58,"male","white","not hispanic",16,45574,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","divorced","very happy",3,"often","excellent","exciting"
"327",53,"female","white","hispanic",17,109248,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","very happy",3,"always","excellent","exciting"
"328",23,"male","white","hispanic",14,35792,"no","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",2,"never","excellent","exciting"
"329",33,"female","black","hispanic",15,15297,"no","catholic","catholic","no","no, neither r nor spouse hunts","married","pretty happy",2,"often","good","routine"
"330",42,"male","white","hispanic",17,24304,"no","protestant","protestant","no","no, neither r nor spouse hunts","divorced","very happy",1,"never","excellent","exciting"
"331",39,"female","white","not hispanic",16,72853,"yes","catholic","catholic","no","no, neither r nor spouse hunts","never married","very happy",1,"always","good","exciting"
"332",67,"male","white","hispanic",12,884,"no","none","none","no","no, neither r nor spouse hunts","divorced","pretty happy",6,"sometimes","good","exciting"
"333",84,"male","white","not hispanic",13,28321,"yes","none","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"334",43,"female","white","not hispanic",13,91012,"yes","none","none","no","no, neither r nor spouse hunts","married","pretty happy",2,"always","good","routine"
"335",51,"female","white","hispanic",19,76599,"yes","none","catholic","yes","no, neither r nor spouse hunts","divorced","pretty happy",0,"always","excellent","routine"
"336",67,"female","white","not hispanic",11,66899,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","very happy",1,"recycling not available where i live","good","routine"
"337",84,"female","white","not hispanic",12,91734,"yes","none","protestant","no","no, neither r nor spouse hunts","widowed","pretty happy",5,"always","good","exciting"
"338",55,"female","white","not hispanic",13,20547,"yes","catholic","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"often","good","exciting"
"339",69,"female","white","not hispanic",18,74394,"yes","jewish","protestant","yes","no, neither r nor spouse hunts","separated","pretty happy",3,"always","good","routine"
"340",82,"male","white","not hispanic",17,99026,"no","catholic","catholic","no","no, neither r nor spouse hunts","widowed","not too happy",4,"always","fair","exciting"
"341",31,"male","white","not hispanic",10,117278,"yes","none","none","yes","yes, respondent does","never married","pretty happy",5,"often","good","routine"
"342",67,"female","black","not hispanic",18,56846,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"343",70,"female","white","not hispanic",16,65895,"yes","other","other","no","yes, spouse does","married","very happy",1,"always","excellent","exciting"
"344",77,"female","white","not hispanic",12,67270,"yes","catholic","catholic","no","no, neither r nor spouse hunts","widowed","very happy",7,"always","good","routine"
"345",27,"female","white","not hispanic",9,13655,"yes","catholic","catholic","no","yes, respondent does","never married","pretty happy",7,"never","good","routine"
"346",34,"male","white","not hispanic",16,106703,"yes","none","catholic","yes","no, neither r nor spouse hunts","married","very happy",4,"sometimes","good","routine"
"347",46,"female","black","not hispanic",12,33973,"yes","protestant","none","no","no, neither r nor spouse hunts","married","pretty happy",3,"recycling not available where i live","good","routine"
"348",53,"female","white","not hispanic",16,71773,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",2,"always","excellent","exciting"
"349",38,"female","white","not hispanic",16,8014,"yes","protestant","protestant","yes","yes, respondent does","divorced","pretty happy",5,"always","good","exciting"
"350",67,"male","white","not hispanic",12,82839,"yes","protestant","protestant","yes","yes, respondent does","divorced","pretty happy",7,"often","fair","routine"
"351",71,"female","white","not hispanic",12,117801,"yes","catholic","catholic","no","no, neither r nor spouse hunts","widowed","pretty happy",2,"never","excellent","exciting"
"352",64,"male","black","not hispanic",12,79805,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"never","good","routine"
"353",29,"female","white","not hispanic",16,70572,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",1,"recycling not available where i live","excellent","exciting"
"354",51,"male","white","not hispanic",16,80419,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",7,"never","good","exciting"
"355",35,"female","white","hispanic",13,26970,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",4,"never","fair","exciting"
"356",36,"female","white","not hispanic",12,97941,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",4,"never","good","routine"
"357",67,"female","white","not hispanic",12,11466,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","widowed","pretty happy",5,"always","poor","routine"
"358",62,"female","white","not hispanic",16,73139,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","very happy",3,"never","good","exciting"
"359",62,"female","white","not hispanic",17,81658,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",1,"recycling not available where i live","excellent","exciting"
"360",41,"female","white","not hispanic",16,61494,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","pretty happy",5,"often","good","routine"
"361",68,"male","white","not hispanic",12,31624,"yes","protestant","protestant","yes","yes, respondent does","married","pretty happy",4,"always","good","routine"
"362",71,"male","black","not hispanic",14,81734,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",1,"recycling not available where i live","good","routine"
"363",36,"female","white","not hispanic",12,24332,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",7,"never","good","routine"
"364",39,"female","white","not hispanic",14,35865,"yes","none","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",4,"never","fair","routine"
"365",75,"female","white","not hispanic",16,27105,"yes","catholic","catholic","no","no, neither r nor spouse hunts","widowed","very happy",6,"always","good","exciting"
"366",35,"female","white","not hispanic",12,19509,"yes","none","other","no","no, neither r nor spouse hunts","married","very happy",5,"recycling not available where i live","good","routine"
"367",45,"male","white","not hispanic",12,56090,"yes","none","protestant","yes","yes, respondent does","divorced","pretty happy",6,"sometimes","good","routine"
"368",41,"male","white","not hispanic",16,71173,"yes","none","none","yes","no, neither r nor spouse hunts","never married","pretty happy",5,"always","good","routine"
"369",51,"female","white","not hispanic",18,52675,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","not too happy",3,"never","good","routine"
"370",37,"male","white","not hispanic",17,75700,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","very happy",3,"always","good","routine"
"371",73,"male","white","not hispanic",17,85899,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",4,"never","good","routine"
"372",49,"female","white","not hispanic",13,2386,"yes","other","other","no","no, neither r nor spouse hunts","divorced","not too happy",1,"sometimes","poor","dull"
"373",80,"male","white","not hispanic",11,41110,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",3,"often","excellent","exciting"
"374",34,"female","black","not hispanic",12,90901,"yes","protestant","protestant","no","no, neither r nor spouse hunts","married","very happy",5,"often","good","routine"
"375",56,"male","white","not hispanic",16,54889,"yes","protestant","catholic","no","yes, respondent does","married","pretty happy",3,"always","good","routine"
"376",61,"female","white","not hispanic",20,112522,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",3,"always","good","routine"
"377",41,"female","white","not hispanic",12,21210,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","very happy",3,"always","fair","routine"
"378",47,"female","white","not hispanic",12,50987,"yes","catholic","other","yes","no, neither r nor spouse hunts","separated","pretty happy",1,"often","excellent","routine"
"379",41,"female","white","not hispanic",20,117196,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","divorced","pretty happy",0,"always","excellent","routine"
"380",63,"female","white","not hispanic",12,14738,"yes","protestant","none","no","no, neither r nor spouse hunts","widowed","pretty happy",7,"never","fair","routine"
"381",49,"female","white","not hispanic",14,10488,"yes","protestant","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",2,"always","fair","routine"
"382",56,"female","black","not hispanic",12,107870,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",2,"never","good","routine"
"383",75,"male","white","not hispanic",20,93686,"yes","protestant","protestant","no","no, neither r nor spouse hunts","widowed","not too happy",0,"always","good","routine"
"384",89,"male","white","not hispanic",14,72737,"yes","none","catholic","yes","no, neither r nor spouse hunts","widowed","pretty happy",1,"never","good","routine"
"385",26,"female","white","not hispanic",17,48775,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","pretty happy",3,"never","good","routine"
"386",66,"male","white","not hispanic",18,44697,"yes","none","catholic","yes","no, neither r nor spouse hunts","married","not too happy",1,"always","good","routine"
"387",62,"male","black","not hispanic",16,55050,"yes","none","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",1,"sometimes","good","exciting"
"388",38,"male","white","not hispanic",16,25436,"yes","catholic","catholic","no","no, neither r nor spouse hunts","married","very happy",5,"always","good","routine"
"389",29,"male","white","not hispanic",12,24275,"yes","none","protestant","no","no, neither r nor spouse hunts","never married","not too happy",6,"always","fair","routine"
"390",50,"female","white","not hispanic",16,69438,"yes","other","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",3,"recycling not available where i live","fair","routine"
"391",83,"male","white","not hispanic",16,52258,"yes","catholic","catholic","yes","no, neither r nor spouse hunts","married","pretty happy",4,"always","fair","routine"
"392",60,"male","black","not hispanic",14,20082,"yes","none","none","yes","no, neither r nor spouse hunts","divorced","pretty happy",1,"always","good","exciting"
"393",61,"female","white","not hispanic",9,9515,"yes","other","other","no","no, neither r nor spouse hunts","divorced","not too happy",2,"sometimes","poor","routine"
"394",57,"female","white","not hispanic",16,116801,"yes","protestant","protestant","yes","no, neither r nor spouse hunts","married","pretty happy",4,"never","excellent","exciting"
"395",30,"female","white","not hispanic",14,33282,"yes","protestant","protestant","no","no, neither r nor spouse hunts","divorced","pretty happy",3,"never","good","routine"
"396",49,"male","white","not hispanic",16,43617,"yes","none","catholic","yes","yes, respondent does","divorced","pretty happy",3,"always","good","routine"
"397",67,"female","black","not hispanic",14,22673,"yes","protestant","protestant","no","no, neither r nor spouse hunts","separated","pretty happy",0,"sometimes","good","exciting"
"398",64,"male","white","not hispanic",12,33306,"yes","none","protestant","no","no, neither r nor spouse hunts","married","pretty happy",3,"sometimes","good","routine"
"399",51,"female","white","not hispanic",16,97924,"yes","catholic","catholic","no","no, neither r nor spouse hunts","divorced","pretty happy",0,"always","good","exciting"
"400",79,"male","white","not hispanic",16,45655,"yes","none","none","no","no, neither r nor spouse hunts","married","pretty happy",5,"always","good","routine"
"401",46,"male","white","not hispanic",12,102464,"yes","protestant","catholic","yes","yes, respondent does","married","very happy",5,"often","good","routine"
"402",32,"male","white","not hispanic",16,88889,"yes","none","none","yes","no, neither r nor spouse hunts","never married","not too happy",1,"recycling not available where i live","good","dull"
"403",73,"female","white","not hispanic",14,11792,"yes","catholic","protestant","no","no, neither r nor spouse hunts","widowed","very happy",1,"sometimes","good","exciting"
"404",74,"female","white","not hispanic",13,91988,"yes","protestant","protestant","yes","yes, spouse does","married","pretty happy",4,"always","excellent","routine"
"405",68,"male","white","not hispanic",14,92011,"yes","catholic","protestant","yes","no, neither r nor spouse hunts","married","very happy",3,"recycling not available where i live","good","routine"
